时间戳,CPU利用率,物理内存使用量(MB),磁盘读取(MB),磁盘写入(MB),磁盘读取次数,磁盘写入次数
1755763816.9,0.0,1264.2617,0.0,0.0,0,0
1755763817.4,0.975,2814.6641,0.0,0.0391,0,2
1755763817.9,0.937,3430.6289,0.0,0.0,0,0
1755763818.4,0.618,2078.3398,0.0,0.0,0,0
1755763818.9,0.978,3191.1758,0.0,0.0,0,0
1755763819.4,0.658,1256.8711,0.0,0.0039,3,1
1755763819.9,0.9,2808.9805,0.0,0.0,0,0
1755763820.4,0.946,3422.2461,0.0,0.3438,0,28
1755763820.9,0.629,1908.2617,0.0,0.0,0,0
1755763821.4,0.961,2969.1328,0.0,0.0,0,0
1755763821.9,0.768,2134.8008,0.0,0.1055,0,7
1755763822.4,0.811,2785.5352,0.0,0.0469,0,4
1755763822.9,0.953,3419.9531,0.0,0.0,0,0
1755763823.4,0.601,1672.9336,0.0,0.0,0,0
1755763823.9,0.967,2808.4102,0.0,0.0,0,0
1755763824.4,0.852,2604.4961,0.0,0.0,0,0
1755763824.9,0.726,2735.8086,0.0,0.0273,0,2
1755763825.4,0.958,3323.1992,0.0,0.0,0,0
1755763825.9,0.62,1537.7852,0.0,0.0,0,0
1755763826.4,0.98,2808.3633,0.0,0.1445,0,25
1755763826.9,0.915,3246.1758,0.0,0.0,0,0
1755763827.4,0.646,2515.7383,0.0,0.0859,0,4
1755763827.9,0.968,3300.2812,0.0,0.0,0,0
1755763828.4,0.603,1327.0859,0.0,0.0,0,0
1755763828.9,0.985,2804.6328,0.0,0.0,0,0
1755763829.4,0.944,3423.7812,0.0,0.0,3,0
