时间戳,CPU利用率,物理内存使用量(MB),磁盘读取(MB),磁盘写入(MB),磁盘读取次数,磁盘写入次数
1744377435.883569156,.096,2393.8281,6.3750,.0078,53,1
1744377436.410568494,.078,2528.5585,134.1601,1.5000,1302,8
1744377436.939557540,.086,2664.7890,130.1484,.5000,1136,3
1744377437.468111688,.087,2798.3007,132.3046,0,1259,0
1744377437.996535923,.084,2931.0234,132.9140,0,1276,0
1744377438.525800229,.097,3070.4609,139.1406,0,1262,0
1744377439.054685501,.083,3206.1054,135.8125,0,1175,0
1744377439.583895937,.094,3349.6679,143.1093,0,1192,0
1744377440.113540001,.090,3490.7656,140.4375,0,1214,0
1744377440.642842577,.087,3626.7304,136.0000,0,1178,0
1744377441.172181878,.089,3764.4726,137.3750,0,1255,0
1744377441.700566912,.082,3902.2382,137.0859,0,1292,0
1744377442.229821431,.091,4037.2734,134.7656,0,1195,0
1744377442.759287176,.087,4177.4882,140.3867,0,1255,0
1744377443.287701453,.091,4311.7070,133.8046,0,1147,0
1744377443.817465791,.093,4451.7421,139.6171,0,1194,0
1744377444.346676066,.091,4590.9218,135.9765,0,1173,0
1744377444.876428175,.081,4701.1757,109.0273,.0078,1426,1
1744377445.404204701,.016,4720.0546,18.1093,0,2013,0
1744377445.932754175,.016,4738.7187,18.3398,0,1994,0
1744377446.461077338,.016,4756.4921,17.2656,0,1852,0
1744377446.989631661,.015,4774.0546,17.1679,0,1902,0
1744377447.518617248,.016,4792.3632,17.9960,0,1969,0
1744377448.045520577,.015,4810.2031,17.5703,0,1944,0
1744377448.572931952,.015,4827.5468,17.1484,0,1892,0
1744377449.101167096,.017,4847.0195,19.1992,0,2069,0
1744377449.630023430,.016,4865.3828,18.2148,0,1965,0
1744377450.157631048,.021,4884.6015,17.6992,.0312,1989,1
1744377450.686760340,.026,4903.7148,18.7968,.1484,2075,3
1744377451.215377231,.041,4921.6093,19.1132,.0937,2095,2
1744377451.743687994,.017,4940.6992,18.9570,0,1997,0
1744377452.271708337,.016,4958.8164,18.0000,0,1983,0
1744377452.800101066,.017,4978.0039,19.0703,0,2062,0
1744377453.329190557,.019,4997.9843,20.0312,0,2064,0
1744377453.857910160,.017,5017.0351,18.9570,0,2017,0
1744377454.386265288,.017,5035.8789,18.7968,0,2061,0
1744377454.914475383,.018,5056.0117,20.2109,0,2129,0
1744377455.443298859,.019,5076.2187,20.0390,0,2033,0
1744377455.971365656,.019,5096.5195,20.4218,0,2100,0
1744377456.502729883,.019,5116.2187,19.5234,0,2058,0
1744377457.030986086,.019,5135.8242,19.6289,0,1981,0
1744377457.559390450,.019,5154.9726,19.1250,0,1922,0
1744377458.088548098,.019,5174.3046,19.2617,0,1988,0
1744377458.616546844,.019,5193.9375,19.6328,0,1945,0
1744377459.145059536,.020,5213.6250,19.7460,0,1965,0
1744377459.673860980,.018,5232.9140,19.2851,.0078,2067,1
1744377460.202260449,.019,5252.3710,19.5625,0,1973,0
1744377460.730685867,.017,5271.4414,18.9296,0,1949,0
1744377461.258830766,.017,5291.1328,19.5546,0,2053,0
1744377461.787049385,.018,5311.1367,20.0078,0,2040,0
1744377462.315621230,.018,5331.5156,20.2460,0,2133,0
1744377462.843224937,.018,5350.1640,18.7500,0,1857,0
1744377463.371426317,.017,5368.9179,18.7226,0,1901,0
1744377463.899298538,.017,5388.5312,19.6523,0,2016,0
1744377464.427363211,.019,5407.7148,19.2226,31.3828,1951,72
1744377464.955471166,.019,5428.5039,20.5351,0,2069,0
1744377465.483984356,.020,5448.4570,20.0234,0,1974,0
1744377466.011846905,.020,5469.7539,21.3085,0,2075,0
1744377466.539683919,.020,5490.7578,21.0351,0,2059,0
1744377467.067521008,.019,5511.6796,20.7656,0,2072,0
1744377467.595841000,.017,5530.6914,19.2031,0,1992,0
1744377468.123474635,.019,5550.7070,19.9609,0,1963,0
1744377468.651757295,.019,5570.8750,20.1328,0,1966,0
1744377469.179800582,.020,5592.7226,21.8242,0,2124,0
1744377469.708426115,.018,5612.7031,19.9414,.2343,1968,27
1744377470.235629343,.019,5633.6953,21.0585,0,2024,0
1744377470.765543464,.019,5654.5390,20.9609,0,2054,0
1744377471.294286567,.020,5676.8203,22.0664,0,2147,0
1744377471.823009410,.021,5699.1171,22.2812,0,2106,0
1744377472.351167705,.021,5722.3085,23.2109,0,2124,0
1744377472.879144235,.022,5745.5625,23.1054,0,2152,0
1744377473.407090800,.019,5765.6054,20.2226,0,1918,0
1744377473.936480473,.020,5787.1054,21.4570,0,1999,0
1744377474.464992838,.020,5808.4492,21.2578,0,2003,0
1744377474.993747727,.020,5829.7773,21.4531,0,1954,0
1744377475.522698668,.020,5852.0898,22.2109,0,2028,0
1744377476.051598070,.018,5872.6406,20.5078,0,1925,0
1744377476.579875767,.017,5893.2148,20.5273,0,1963,0
1744377477.107987214,.020,5916.1484,22.9023,0,2182,0
1744377477.635634251,.020,5939.8632,23.6367,0,2178,0
1744377478.162370034,.021,5964.4804,24.7031,0,2233,0
1744377478.690672728,.019,5988.2539,23.7929,0,2133,0
1744377479.218819230,.020,6010.9687,22.7148,0,1993,0
1744377479.747139870,.020,6033.4140,22.4218,0,2035,0
1744377480.276133408,.020,6057.3789,23.9765,0,2154,0
1744377480.804521322,.020,6081.2226,23.8554,0,2073,0
1744377481.332860546,.022,6105.8593,24.6914,0,2104,0
1744377481.861680923,.020,6130.2812,24.2304,0,2148,0
1744377482.390852091,.022,6154.9648,24.8046,0,2022,0
1744377482.919573527,.021,6178.9882,24.0039,0,2108,0
1744377483.448163844,.020,6202.7187,23.6406,0,2070,0
1744377483.976322807,.021,6227.3320,24.6562,0,2129,0
1744377484.506300325,.020,6251.8906,24.5429,0,2141,0
1744377485.034484291,.021,6276.4062,24.4843,.0156,2085,2
1744377485.562867024,.022,6302.5507,25.9375,0,2116,0
1744377486.091642083,.022,6329.3007,27.0664,0,2222,0
1744377486.621256702,.023,6355.3515,25.8437,0,2125,0
1744377487.150156590,.023,6381.2304,25.8710,0,2114,0
1744377487.678776061,.023,6408.2773,27.1523,0,2298,0
1744377488.207220794,.021,6433.1914,24.8359,0,2049,0
1744377488.735991081,.024,6459.8671,26.6640,0,2228,0
1744377489.263941027,.023,6485.9257,26.0664,0,2123,0
1744377489.792628335,.021,6511.2695,25.2187,.0546,2164,13
1744377490.321556771,.023,6537.2656,26.1328,0,2177,0
1744377490.849960840,.028,6567.6953,30.3203,0,2284,0
1744377491.377576010,.025,6595.9921,28.3320,0,2374,0
1744377491.906864495,.025,6624.2929,28.3671,0,2361,0
1744377492.433751949,.028,6655.9921,31.8320,0,2535,0
1744377492.962016118,.027,6685.8671,29.7109,0,2384,0
1744377493.490371218,.028,6717.0117,31.1640,0,2522,0
1744377494.019367382,.029,6749.9531,32.8203,0,2583,0
1744377494.548478062,.029,6780.3945,30.4726,0,2397,0
1744377495.076730709,.029,6773.7656,32.2343,0,2493,0
1744377495.605183970,.030,6804.9648,31.0976,0,2451,0
1744377496.133950875,.029,6837.3242,32.3320,0,2545,0
1744377496.662758660,.031,6826.6210,30.5742,0,2351,0
1744377497.190545371,.032,6858.8476,32.0781,0,2476,0
